"","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","windBearing","cloudCover","uvIndex","visibility","windGust","ozone","precipType"
"1",2017-01-01 00:00:00,"Foggy","fog",0,0,16.01,16.01,12,0.77,1014.8,0.75,350,0,0,2.997,NA,NA,NA
"2",2017-01-01 01:00:00,"Foggy","fog",0,0,14.93,14.93,10.87,0.77,NA,1.69,350,0,0,2.997,NA,NA,NA
"3",2017-01-01 02:00:00,"Foggy","fog",0,0,14.49,14.49,10.99,0.8,NA,0.75,350,0,0,2.997,NA,NA,NA
"4",2017-01-01 03:00:00,"Foggy","fog",0,0,14.01,14.01,10.99,0.82,NA,0,170,0,0,3.028,NA,NA,NA
"5",2017-01-01 04:00:00,"Foggy","fog",0,0,13.57,13.57,11.12,0.85,NA,0,NA,0,0,2.75,NA,NA,NA
"6",2017-01-01 05:00:00,"Foggy","fog",0,0,12.45,12.45,9.87,0.84,NA,0,NA,0,0,2.471,NA,NA,NA
"7",2017-01-01 06:00:00,"Foggy","fog",0,0,12,12,9.94,0.87,NA,0,NA,NA,0,2.502,NA,NA,NA
"8",2017-01-01 07:00:00,"Foggy","fog",0,0,10.82,10.82,10.31,0.96,NA,0,NA,NA,0,2.533,NA,NA,NA
"9",2017-01-01 08:00:00,"Foggy","fog",0,0,15.95,15.79,12.06,0.79,NA,0,300,NA,NA,2.252,NA,NA,NA
"10",2017-01-01 09:00:00,"Foggy","fog",0,0,26.7,27.98,18.31,0.6,NA,0.5,122,NA,NA,1.971,NA,NA,NA
"11",2017-01-01 10:00:00,"Foggy","fog",0,0,30.51,33.36,21.63,0.59,NA,1.07,107,NA,NA,1.971,NA,NA,NA
"12",2017-01-01 11:00:00,"Foggy","fog",0,0,30.01,31.49,19,0.52,NA,0.97,151,NA,NA,2.252,NA,NA,NA
"13",2017-01-01 12:00:00,"Foggy","fog",0,0,29.88,30.17,16.81,0.45,NA,1.18,251,NA,NA,2.533,NA,NA,NA
"14",2017-01-01 13:00:00,"Foggy","fog",0,0,31.01,31.21,16.5,0.42,NA,2.11,243,NA,NA,2.502,NA,NA,NA
"15",2017-01-01 14:00:00,"Foggy","fog",0,0,32.14,32.11,16,0.38,NA,2.42,250,0.19,3,2.502,NA,NA,NA
"16",2017-01-01 15:00:00,"Foggy","fog",0,0,32.07,32.07,15.5,0.37,NA,2.06,286,0.19,2,2.502,NA,NA,NA
"17",2017-01-01 16:00:00,"Foggy","fog",0,0,31.64,31.64,14.94,0.36,NA,2.16,261,0.19,1,2.502,NA,NA,NA
"18",2017-01-01 17:00:00,"Foggy","fog",0,0,30.14,30.14,15.06,0.4,NA,1.61,220,0.19,0,2.502,NA,NA,NA
"19",2017-01-01 18:00:00,"Foggy","fog",0,0,27.52,27.52,14.44,0.45,NA,0.43,179,0.19,0,2.502,NA,NA,NA
"20",2017-01-01 19:00:00,"Foggy","fog",0,0,24.88,24.88,14.44,0.52,NA,0,11,NA,0,2.502,NA,NA,NA
"21",2017-01-01 20:00:00,"Foggy","fog",0,0,23.5,23.5,15.06,0.59,NA,0,NA,NA,0,2.502,NA,NA,NA
"22",2017-01-01 21:00:00,"Foggy","fog",0,0,22.01,22.01,15,0.65,NA,0,NA,NA,0,2.502,NA,NA,NA
